year,average,sd
1961,0.25,1.07
1962,-0.03,0.8
1963,0.08,0.79
1964,0.34,0.9
1965,0.09,0.73
1966,-0.27,1.04
1967,-0.23,0.9
1968,-0.16,1.08
1969,-0.47,0.76
1970,-0.83,1.36
1971,-0.06,0.98
1972,0.3,0.88
1973,-0.18,0.85
1974,-0.16,1.15
1975,-0.1,0.7
1976,-0.32,0.98
1977,0.09,0.83
1978,0.29,1.12
1979,-0.09,0.81
1980,-0.05,0.96
1981,0.03,0.98
1982,0.13,1.05
1983,0.15,0.91
1984,-0.15,0.72
1985,0.5,0.97
1986,-0.03,0.86
1987,-0.09,1.1
1988,0.56,0.85
1989,0.21,0.97
1990,0.19,0.84
1991,0.34,0.46
1992,0.25,0.65
1993,0.42,0.87
1994,0.21,0.96
1995,0.17,1.11
1996,0.18,0.9
1997,0.26,0.93
1998,0.65,0.65
1999,1.12,0.6
2000,0.81,0.81
2001,0.51,1.03
2002,0.62,0.76
2003,0.7,0.86
2004,0.87,1.04
2005,1.06,1.25
2006,1.12,1.01
2007,1.24,0.84
2008,0.9,0.73
2009,0.95,0.68
2010,0.34,0.92
2011,1.36,0.51
2012,1.43,0.53
2013,1.22,0.79
2014,1.52,0.58
2015,1.07,0.63
2016,1.14,0.71
2017,1.23,0.64
2018,1.2,1.08
2019,1.12,0.77
2020,1.31,0.81
2021,1.43,1.24
2022,1.2,0.71
2023,1.53,0.92
2024,1.17,1.02
2025,1.26,0.85
2026,1.9,0.91
2027,1.32,1.14
2028,1.62,0.73
2029,1.46,0.72
2030,1.54,0.79
2031,1.98,0.58
2032,2.17,0.87
2033,2.1,0.8
2034,1.92,0.58
2035,1.56,0.33
2036,1.69,0.7
2037,2.14,0.92
2038,2.1,0.44
2039,2.55,1.03
2040,1.96,1.14
2041,2.53,0.78
2042,2.14,0.71
2043,2.29,0.88
2044,1.9,0.67
2045,2.19,0.66
2046,2.18,1
2047,1.82,0.71
2048,2.57,0.52
2049,1.84,0.76
2050,2.45,0.61
2051,2.04,0.56
2052,1.83,0.73
2053,2.32,0.86
2054,2.43,0.36
2055,2.25,0.96
2056,2.3,0.78
2057,2.39,1.04
2058,2.47,0.62
2059,2.01,0.57
2060,2.33,0.94
2061,2.53,1.15
2062,3.26,0.72
2063,3.19,0.67
2064,2.6,0.84
2065,2.63,0.94
2066,2.64,0.35
2067,2.41,0.77
2068,2.56,0.77
2069,2.48,0.61
2070,2.88,1.29
2071,3.07,0.67
2072,2.9,0.83
2073,3.21,1.11
2074,2.75,0.7
2075,3.05,0.79
2076,2.92,1.09
2077,2.32,0.71
2078,2.38,0.92
2079,2.52,0.96
2080,3.06,0.85
2081,2.89,0.93
2082,2.79,0.96
2083,2.79,0.65
2084,3.06,1.07
2085,2.86,0.75
2086,2.82,0.56
2087,3.03,0.8
2088,2.93,1.01
2089,2.67,0.8
2090,2.54,0.95
2091,2.93,0.39
2092,2.79,0.81
2093,3.09,0.99
2094,2.64,1.46
2095,2.84,1.1
2096,3.14,0.73
2097,2.99,0.98
2098,2.83,1
2099,2.81,0.45
2100,2.57,0.78
