Region ID,Region Name,Dwelling Type ID,Dwelling Type Name,Floor Space ID,Floor Space Name,2012,2013,2014,2015,2016,2017,2018,2019,2020
0184,Solna,SMAG,one- or two-dwelling buildings -- owner-occupied,45,-50 sq.m.,..,..,..,..,..,..,..,..,..
,,,,55,51-80 sq.m.,16,16,16,15,14,16,16,15,17
,,,,85,81-110 sq.m.,74,72,73,71,71,74,72,73,73
,,,,115,111-140 sq.m.,121,121,120,117,116,114,116,117,117
,,,,145,141-170 sq.m.,100,98,103,103,104,102,103,101,102
,,,,175,171- sq.m.,95,94,94,93,93,92,92,93,95
,,,,US,data missing,..,..,..,..,142,146,145,141,142
,,,,samtl,all,408,403,409,402,543,547,547,543,547
,,SMBO,one- or two-dwelling buildings -- tenant-owned,45,-50 sq.m.,..,..,..,..,..,..,..,..,..
,,,,55,51-80 sq.m.,..,..,..,..,..,..,..,..,..
,,,,85,81-110 sq.m.,6,6,6,6,6,6,6,6,6
,,,,115,111-140 sq.m.,14,15,15,14,15,15,15,15,15
,,,,145,141-170 sq.m.,..,..,..,..,..,..,..,..,..
,,,,175,171- sq.m.,10,11,10,12,11,11,12,12,12
,,,,US,data missing,..,..,..,..,..,..,..,..,..
,,,,samtl,all,32,34,33,34,34,35,36,36,36
,,SMHY0,one- or two-dwelling buildings -- rented,45,-50 sq.m.,..,..,..,..,..,..,..,..,..
,,,,55,51-80 sq.m.,7,7,10,10,9,9,9,10,10
,,,,85,81-110 sq.m.,8,8,8,7,7,7,6,6,8
,,,,115,111-140 sq.m.,..,..,..,5,5,5,5,6,6
,,,,145,141-170 sq.m.,7,5,10,10,10,10,10,10,10
,,,,175,171- sq.m.,11,10,14,13,13,13,13,14,15
,,,,US,data missing,..,..,..,..,22,22,21,22,22
,,,,samtl,all,38,35,49,48,69,68,66,71,74
,,FBBO,multi-dwelling buildings -- tenant-owned,45,-50 sq.m.,3499,3592,3820,3953,4172,4446,4541,4794,5043
,,,,55,51-80 sq.m.,9586,9863,10149,10401,10809,11088,11321,11581,11816
,,,,85,81-110 sq.m.,5818,5951,6164,6329,6485,6690,6784,6856,6950
,,,,115,111-140 sq.m.,967,1006,1030,1051,1105,1149,1156,1174,1180
,,,,145,141-170 sq.m.,237,240,250,251,278,297,301,303,303
,,,,175,171- sq.m.,39,40,39,41,41,40,41,40,40
,,,,US,data missing,..,..,..,..,..,..,..,..,..
,,,,samtl,all,20146,20692,21452,22026,22890,23710,24144,24748,25332
,,FBHY0,multi-dwelling buildings -- rented,45,-50 sq.m.,2134,2131,2149,2189,2196,2270,2321,2346,2412
,,,,55,51-80 sq.m.,5324,5203,5351,5558,5450,5353,5334,5382,5577
,,,,85,81-110 sq.m.,2228,2216,2280,2394,2402,2318,2333,2342,2399
,,,,115,111-140 sq.m.,368,367,369,412,399,386,383,385,383
,,,,145,141-170 sq.m.,63,62,62,82,60,47,45,47,48
,,,,175,171- sq.m.,..,..,..,..,..,..,..,..,..
,,,,US,data missing,..,..,..,..,..,..,..,..,..
,,,,samtl,all,10120,9983,10213,10638,10511,10378,10418,10504,10821
,,OB,other housing,45,-50 sq.m.,50,64,67,73,81,88,85,89,246
,,,,55,51-80 sq.m.,251,323,236,326,338,342,326,308,289
,,,,85,81-110 sq.m.,86,132,97,101,102,103,103,95,75
,,,,115,111-140 sq.m.,8,12,15,15,11,10,14,11,18
,,,,145,141-170 sq.m.,11,11,..,..,..,..,..,..,..
,,,,175,171- sq.m.,..,..,..,..,..,..,..,..,..
,,,,US,data missing,..,..,..,..,..,..,..,..,..
,,,,samtl,all,408,544,421,521,538,549,534,508,633
,,OVR,data missing,45,-50 sq.m.,..,..,..,..,..,..,..,..,..
,,,,55,51-80 sq.m.,..,..,..,..,..,..,..,..,..
,,,,85,81-110 sq.m.,..,..,..,..,..,..,..,..,..
,,,,115,111-140 sq.m.,..,..,..,..,..,..,..,..,..
,,,,145,141-170 sq.m.,..,..,..,..,..,..,..,..,..
,,,,175,171- sq.m.,..,..,..,..,..,..,..,..,..
,,,,US,data missing,2267,2249,1823,1656,1369,1427,1501,1530,1239
,,,,samtl,all,2267,2249,1823,1656,1369,1427,1501,1530,1239
,,TOT,housing -- total,45,-50 sq.m.,5688,5792,6043,6222,6456,6810,6953,7236,7706
,,,,55,51-80 sq.m.,15184,15412,15762,16310,16620,16809,17007,17297,17710
,,,,85,81-110 sq.m.,8220,8385,8628,8908,9073,9198,9304,9378,9511
,,,,115,111-140 sq.m.,1481,1524,1553,1614,1651,1679,1689,1708,1719
,,,,145,141-170 sq.m.,419,417,430,451,457,461,464,466,468
,,,,175,171- sq.m.,160,161,161,164,164,162,162,162,165
,,,,US,data missing,2267,2249,1823,1656,1533,1595,1667,1693,1403
,,,,samtl,all,33419,33940,34400,35325,35954,36714,37246,37940,38682
1280,Malmo,SMAG,one- or two-dwelling buildings -- owner-occupied,45,-50 sq.m.,146,144,147,152,135,136,136,139,142
,,,,55,51-80 sq.m.,1105,1111,1126,1128,1133,1134,1141,1141,1180
,,,,85,81-110 sq.m.,5531,5552,5594,5643,5711,5819,5916,5924,5960
,,,,115,111-140 sq.m.,8559,8598,8618,8630,8649,8644,8653,8639,8652
,,,,145,141-170 sq.m.,5054,5064,5081,5101,5138,5137,5140,5154,5145
,,,,175,171- sq.m.,2630,2669,2696,2707,2726,2772,2805,2821,2859
,,,,US,data missing,..,..,..,..,144,145,144,144,148
,,,,samtl,all,23025,23138,23262,23361,23636,23787,23935,23962,24086
,,SMBO,one- or two-dwelling buildings -- tenant-owned,45,-50 sq.m.,7,7,7,6,8,8,8,8,9
,,,,55,51-80 sq.m.,328,325,327,326,318,300,301,298,302
,,,,85,81-110 sq.m.,1347,1345,1356,1372,1382,1361,1359,1355,1365
,,,,115,111-140 sq.m.,867,873,875,878,862,862,882,892,896
,,,,145,141-170 sq.m.,57,54,54,55,40,40,40,39,40
,,,,175,171- sq.m.,8,8,8,8,8,8,8,7,8
,,,,US,data missing,..,..,..,..,66,66,65,65,64
,,,,samtl,all,2614,2612,2627,2645,2684,2645,2663,2664,2684
,,SMHY0,one- or two-dwelling buildings -- rented,45,-50 sq.m.,..,5,..,..,..,..,..,..,5
,,,,55,51-80 sq.m.,64,68,64,67,68,67,67,65,75
,,,,85,81-110 sq.m.,159,164,167,186,216,209,175,166,168
,,,,115,111-140 sq.m.,128,130,121,135,119,125,125,125,132
,,,,145,141-170 sq.m.,40,43,45,45,40,44,44,42,44
,,,,175,171- sq.m.,58,56,49,48,48,48,48,47,51
,,,,US,data missing,..,..,..,..,11,10,8,8,7
,,,,samtl,all,453,466,450,484,505,507,471,457,482
,,FBBO,multi-dwelling buildings -- tenant-owned,45,-50 sq.m.,7526,7647,7824,7992,8196,8394,8703,8982,9270
,,,,55,51-80 sq.m.,26757,27177,27796,28388,28733,29176,30045,30959,31587
,,,,85,81-110 sq.m.,12737,12929,13160,13506,13628,13845,14204,14588,14976
,,,,115,111-140 sq.m.,2468,2512,2587,2671,2674,2729,2750,2767,2814
,,,,145,141-170 sq.m.,318,331,337,355,367,368,375,371,377
,,,,175,171- sq.m.,179,181,181,184,194,191,196,199,194
,,,,US,data missing,..,..,..,..,..,..,..,..,..
,,,,samtl,all,49985,50777,51885,53096,53792,54703,56273,57866,59218
,,FBHY0,multi-dwelling buildings -- rented,45,-50 sq.m.,9671,9784,10103,10291,10848,11287,11799,12199,12745
,,,,55,51-80 sq.m.,30777,31038,31721,32001,32746,33379,34132,34612,35418
,,,,85,81-110 sq.m.,11871,12026,12283,12400,12678,12833,12963,13174,13508
,,,,115,111-140 sq.m.,2124,2145,2153,2138,2169,2175,2185,2240,2263
,,,,145,141-170 sq.m.,362,355,359,346,363,362,369,356,369
,,,,175,171- sq.m.,166,165,165,167,155,158,151,153,156
,,,,US,data missing,..,..,..,..,..,..,..,..,..
,,,,samtl,all,54971,55513,56784,57343,58959,60194,61599,62734,64459
,,OB,other housing,45,-50 sq.m.,355,399,465,492,515,506,521,561,575
,,,,55,51-80 sq.m.,981,1022,1069,1093,1123,1119,1125,1159,1206
,,,,85,81-110 sq.m.,720,754,792,800,811,819,813,829,856
,,,,115,111-140 sq.m.,133,137,156,157,162,167,168,165,169
,,,,145,141-170 sq.m.,55,60,59,60,58,57,58,59,63
,,,,175,171- sq.m.,45,52,53,55,51,52,55,55,53
,,,,US,data missing,..,..,..,..,..,..,..,..,..
,,,,samtl,all,2289,2424,2594,2657,2721,2720,2740,2829,2922
,,OVR,data missing,45,-50 sq.m.,..,..,..,..,..,..,..,..,..
,,,,55,51-80 sq.m.,..,..,..,..,..,..,..,..,..
,,,,85,81-110 sq.m.,..,..,..,..,..,..,..,..,..
,,,,115,111-140 sq.m.,..,..,..,..,..,..,..,..,..
,,,,145,141-170 sq.m.,..,..,..,..,..,..,..,..,..
,,,,175,171- sq.m.,..,..,..,..,..,..,..,..,..
,,,,US,data missing,7140,6624,5628,5077,4653,4658,4474,4435,4570
,,,,samtl,all,7140,6624,5628,5077,4653,4658,4474,4435,4570
,,TOT,housing -- total,45,-50 sq.m.,17709,17986,18550,18936,19705,20335,21171,21893,22746
,,,,55,51-80 sq.m.,60012,60741,62103,63003,64121,65175,66811,68234,69768
,,,,85,81-110 sq.m.,32365,32770,33352,33907,34426,34886,35430,36036,36833
,,,,115,111-140 sq.m.,14279,14395,14510,14609,14635,14702,14763,14828,14926
,,,,145,141-170 sq.m.,5886,5907,5935,5962,6006,6008,6026,6021,6038
,,,,175,171- sq.m.,3086,3131,3152,3169,3182,3229,3263,3282,3321
,,,,US,data missing,7140,6624,5628,5077,4875,4879,4691,4653,4789
,,,,samtl,all,140477,141554,143230,144663,146950,149214,152155,154947,158421
